day,sentiment_discord,fear_index,product_hype_score,viral_sentiment,post_volume,attention_acceleration
2025-12-23,0.04748192989618963,2,0,0.941682,6,0.0
2025-12-24,0.14410787625941893,6,0,0.7845595454545455,3,-0.3333333333333333
2025-12-25,0.5097400800081024,0,0,0.14164257252708842,4,-0.07692307692307686
2025-12-26,0.3933635023740764,0,0,0.4215,2,-0.4666666666666667
2025-12-27,0.013229638443031363,2,0,0.9783752,3,-0.16666666666666669
2025-12-28,0.2805799707748221,0,0,0.6751,2,-0.4
2025-12-29,0.5317093971334341,3,0,0.16424917023096663,5,0.3999999999999999
2025-12-30,0.4053843176542477,0,0,0.4277972767574414,2,-0.3333333333333333
2025-12-31,0.11989118816660378,0,2,0.8623428571428571,5,0.5217391304347827
2026-01-01,0.08142040591890955,0,0,0.8048872786304604,4,0.21739130434782614
2026-01-02,0.3335422686856945,0,0,0.5476238095238096,2,-0.3913043478260869
2026-01-03,0.45894185179969516,2,0,0.7072666666666666,3,-0.0869565217391304
2026-01-05,0.5080034728665194,4,1,0.966922131147541,10,1.258064516129032
2026-01-06,0.10998272591639106,2,4,0.9045708174904943,5,0.12903225806451607
2026-01-07,0.1492069815167284,1,0,0.93906543267006,3,-0.34374999999999994
2026-01-08,0.0,0,1,0.0,1,-0.75
2026-01-09,0.7430694180223003,2,1,-0.42891621621621623,3,-0.22222222222222224
2026-01-10,0.0,0,0,0.887,1,-0.7307692307692307
2026-01-11,0.0,0,0,0.4881,1,-0.7083333333333334
2026-01-12,0.028849956672411102,0,0,0.9122,2,-0.12499999999999994
2026-01-13,0.0,0,0,-0.0803,1,-0.41666666666666663
2026-01-14,0.0,0,0,0.9489,1,-0.3
2026-01-15,0.39032294321497424,0,0,0.6603409972299169,2,0.27272727272727276
2026-01-16,0.0,4,0,0.9118,4,1.3333333333333333
2026-01-17,0.3869123424165812,3,0,0.5213571428571429,22,3.6666666666666665
2026-01-19,0.0,0,0,0.8290000000000001,1,-0.7878787878787878
2026-01-20,0.6069948455300094,1,0,0.457125,4,-0.2
2026-01-21,0.22044238098272606,2,0,-0.21423333333333333,3,-0.4324324324324324
